timestamp,subject,classification,confidence
2025-05-24T12:27:49.320733,[URGENT] Account Access Restricted,Legitimate,50.0%
2025-05-25T07:59:18.253482,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-05-27T11:50:58.901300,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-05-28T09:56:07.899206,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-05-29T15:50:48.485715,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-05-30T12:02:50.391682,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-06-03T08:17:36.164652,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-06-03T08:38:28.506573,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-06-04T10:22:40.725787,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-06-25T09:25:57.025258,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-06-25T09:32:15.919983,URGENT: Your PayPal account has been limited,Legitimate,62.0%
2025-06-25T09:33:59.702574,URGENT: Your PayPal account has been limited,Legitimate,62.0%
